title,author,length
A Little Life,Hanya Yanagihara,Length: 32 hrs and 51 mins
The Boys in the Boat,Daniel James Brown,Length: 14 hrs and 24 mins
"Spice and Wolf, Vol. 1 (Light Novel)",Isuna Hasekura,Length: 7 hrs
The Power Broker,Robert A. Caro,Length: 66 hrs and 9 mins
The Twice-Dead King: Reign,Nate Crowley,Length: 12 hrs and 3 mins
Enough Already,Valerie Bertinelli,Length: 6 hrs and 47 mins
The Usual Rules,Joyce Maynard,Length: 12 hrs and 30 mins
Never Say Forever,Donna Alam,Length: 15 hrs and 17 mins
Queen of Shadows,Sarah J. Maas,Length: 20 hrs and 43 mins
Farilane,Michael J. Sullivan,Length: Not Yet Known
Think Like a Monk,Jay Shetty,Length: 10 hrs and 54 mins
Sticks and Crones,Amanda M. Lee,Length: 9 hrs and 19 mins
Kismet,Lauren Blakely,Length: 6 hrs and 46 mins
Ice World,B.V. Larson,Length: 12 hrs and 59 mins
Lilac Girls,Martha Hall Kelly,Length: 17 hrs and 30 mins
Mist Wardens,James T. Callum,Length: 28 hrs and 48 mins
Someone Like You,Marie Force,Length: 10 hrs and 26 mins
Principles for Dealing with the Changing World Order,Ray Dalio,Length: 16 hrs and 48 mins
A Discovery of Witches,Deborah Harkness,Length: 23 hrs and 59 mins
Thrawn (Star Wars),Timothy Zahn,Length: 16 hrs and 56 mins
Star Wars: The Fallen Star (The High Republic),Claudia Gray,Length: 13 hrs and 30 mins
The Giver,Lois Lowry,Length: 4 hrs and 49 mins
The Handmaid's Tale,Margaret Atwood,Length: 11 hrs and 1 min
One Second After,William R. Forstchen,Length: 13 hrs and 17 mins
Unbroken,Laura Hillenbrand,Length: 13 hrs and 56 mins
The Goldfinch,Donna Tartt,Length: 32 hrs and 24 mins
Breath,James Nestor,Length: 7 hrs and 18 mins
Laces,Tempi,Length: 4 hrs and 54 mins
A Death at Silversmith Bay,Emma Jameson,Length: 7 hrs and 26 mins
Ruby Fever,Ilona Andrews,Length: 12 hrs and 30 mins
Living Fully,"Mallory Ervin,Jamie Kern Lima",Length: 6 hrs
The Love Hypothesis,Ali Hazelwood,Length: 11 hrs and 8 mins
Journey of Souls,Michael Newton,Length: 11 hrs and 18 mins
The New Jim Crow,Michelle Alexander,Length: 16 hrs and 57 mins
The Kite Runner,Khaled Hosseini,Length: 12 hrs and 1 min
The Glass Castle,Jeannette Walls,Length: 10 hrs and 25 mins
The Hard Thing About Hard Things,Ben Horowitz,Length: 7 hrs and 57 mins
Homegoing,Yaa Gyasi,Length: 13 hrs and 11 mins
The Phoenix Project,"Gene Kim,Kevin Behr,George Spafford",Length: 14 hrs and 46 mins
The Greatest Salesman in the World,Og Mandino,Length: 2 hrs and 33 mins
Hell Divers IX: Radioactive,Nicholas Sansbury Smith,Length: 14 hrs
The Choice,Nora Roberts,Length: 10 hrs
Star Wars: Darth Plagueis,James Luceno,Length: 14 hrs and 45 mins
Empire of Storms,Sarah J. Maas,Length: 25 hrs and 18 mins
The Da Vinci Code,Dan Brown,Length: 16 hrs and 59 mins
One Night on the Island,Josie Silver,Length: 10 hrs and 21 mins
Voyager,Diana Gabaldon,Length: 43 hrs and 46 mins
The Psychology of Money,Morgan Housel,Length: 5 hrs and 48 mins
The Starless Crown,James Rollins,Length: 22 hrs and 5 mins
Lord of Embers,C. N. Crawford,Length: 6 hrs and 39 mins
The Art of War,Sun Tzu,Length: 1 hr and 7 mins
To Whom It May Concern,A.M. Johnson,Length: 2 hrs and 40 mins
Path of Daggers,Robert Jordan,Length: 23 hrs and 25 mins
Daisy Jones & The Six,Taylor Jenkins Reid,Length: 9 hrs and 3 mins
Vladimir,Julia May Jonas,Length: 9 hrs and 40 mins
The Golden Enclaves,Naomi Novik,Length: 12 hrs
Black Cake,Charmaine Wilkerson,Length: 12 hrs and 2 mins
Bastion,Phil Tucker,Length: 39 hrs and 40 mins
The Blood Tide,Neil Lancaster,Length: 10 hrs and 52 mins
The Language Game,"Morten H. Christiansen,Nick Chater",Length: 9 hrs and 50 mins
Zero to One,"Peter Thiel,Blake Masters",Length: 4 hrs and 50 mins
Quiet,Susan Cain,Length: 10 hrs and 39 mins
Pachinko,Min Jin Lee,Length: 18 hrs and 16 mins
Dancing in the Moonlight,RaeAnne Thayne,Length: 5 hrs and 48 mins
A History of Wild Places,Shea Ernshaw,Length: 11 hrs and 59 mins
Red Rising,Pierce Brown,Length: 16 hrs and 12 mins
Long Walk to Freedom,Nelson Mandela,Length: 27 hrs and 39 mins
The Justice of Kings,Richard Swan,Length: 13 hrs and 46 mins
A Squirrel's Delight,Virlyce,Length: 12 hrs and 24 mins
Helter Skelter,"Vincent Bugliosi,Curt Gentry",Length: 26 hrs and 29 mins
Tall Tales & Witchy Fails,Lily Harper Hart,Length: 6 hrs and 55 mins
Shadows of Pecan Hollow,Caroline Frost,Length: 15 hrs and 43 mins
The Devil's Due,Ali Vali,Length: 11 hrs and 21 mins
Empire of Storms,Sarah J. Maas,Length: 25 hrs and 18 mins
The Da Vinci Code,Dan Brown,Length: 16 hrs and 59 mins
Voyager,Diana Gabaldon,Length: 43 hrs and 46 mins
The Psychology of Money,Morgan Housel,Length: 5 hrs and 48 mins
The Starless Crown,James Rollins,Length: 22 hrs and 5 mins
Nature Wants Us to Be Fat,Richard J. Johnson MD,Length: 9 hrs and 24 mins
Lord of Embers,C. N. Crawford,Length: 6 hrs and 39 mins
Mythos,Stephen Fry,Length: 15 hrs and 26 mins
Path of Daggers,Robert Jordan,Length: 23 hrs and 25 mins
Daisy Jones & The Six,Taylor Jenkins Reid,Length: 9 hrs and 3 mins
The Golden Enclaves,Naomi Novik,Length: 12 hrs
Black Cake,Charmaine Wilkerson,Length: 12 hrs and 2 mins
The Christmas Bouquet,Sherryl Woods,Length: 6 hrs and 37 mins
Bastion,Phil Tucker,Length: 39 hrs and 40 mins
The Cuckoo's Calling,Robert Galbraith,Length: 15 hrs and 54 mins
The Language Game,"Morten H. Christiansen,Nick Chater",Length: 9 hrs and 50 mins
Quiet,Susan Cain,Length: 10 hrs and 39 mins
Genghis Khan and the Making of the Modern World,Jack Weatherford,Length: 14 hrs and 20 mins
The Seat of the Soul,Gary Zukav,Length: 10 hrs and 12 mins
The Creature from Jekyll Island,G. Edward Griffin,Length: 24 hrs and 21 mins
Pachinko,Min Jin Lee,Length: 18 hrs and 16 mins
Divergent,Veronica Roth,Length: 11 hrs and 11 mins
Wonder,R. J. Palacio,Length: 8 hrs and 6 mins
A Crown of Swords,Robert Jordan,Length: 30 hrs and 24 mins
Apocalypse Knights 1,DB King,Length: 13 hrs and 14 mins
Columbus Day,Craig Alanson,Length: 16 hrs and 23 mins
The Dark Tower,Stephen King,Length: 28 hrs and 50 mins
The Book of Life,Deborah Harkness,Length: 23 hrs and 53 mins
Brisingr,Christopher Paolini,Length: 29 hrs and 34 mins
American Gods: The Tenth Anniversary Edition (A Full Cast Production),Neil Gaiman,Length: 19 hrs and 39 mins
For We Are Many,Dennis E. Taylor,Length: 8 hrs and 59 mins
Memory's Legion,James S. A. Corey,Length: 16 hrs and 22 mins
I'll Start Again Monday,Lysa TerKeurst,Length: 3 hrs and 35 mins
The Happiness Trap,Russ Harris,Length: 12 hrs and 19 mins
How the Word Is Passed,Clint Smith,Length: 10 hrs and 6 mins
Psycho-Cybernetics,Maxwell Maltz,Length: 12 hrs and 16 mins
Gone Girl,Gillian Flynn,Length: 19 hrs and 11 mins
Autobiography of a Yogi,Paramahansa Yogananda,Length: 17 hrs and 50 mins
Reckless Girls,Rachel Hawkins,Length: 7 hrs and 43 mins
World War Z: The Complete Edition,Max Brooks,Length: 12 hrs and 9 mins
The Way of Integrity,Martha Beck,Length: 8 hrs and 51 mins
The Body Keeps the Score,Bessel A. van der Kolk,Length: 16 hrs and 15 mins
The Violin Conspiracy,Brendan Slocumb,Length: 12 hrs and 4 mins
The ONE Thing,"Gary Keller,Jay Papasan",Length: 5 hrs and 28 mins
The Fifth Season,N. K. Jemisin,Length: 15 hrs and 27 mins
The Book Thief,Markus Zusak,Length: 13 hrs and 56 mins
Six of Crows,Leigh Bardugo,Length: 15 hrs and 4 mins
The Wife Between Us,"Greer Hendricks,Sarah Pekkanen",Length: 11 hrs and 30 mins
Children of Time,Adrian Tchaikovsky,Length: 16 hrs and 31 mins
Little Fires Everywhere,Celeste Ng,Length: 11 hrs and 27 mins
Ignite,Melanie Harlow,Length: 10 hrs and 5 mins
Star Wars: Ahsoka,E. K. Johnston,Length: 7 hrs and 4 mins
Blood in the Garden,Chris Herring,Length: 11 hrs and 3 mins
Local Woman Missing,Mary Kubica,Length: 11 hrs and 40 mins
A Chance for Us,Corinne Michaels,Length: 8 hrs and 7 mins
Monroe Doctrine: Volume IV,"James Rosone,Alex Aaronson",Length: 12 hrs and 54 mins
Persepolis Rising,James S. A. Corey,Length: 20 hrs and 34 mins
Beneath a Scarlet Sky,Mark Sullivan,Length: 17 hrs and 43 mins
Winter Garden,Kristin Hannah,Length: 14 hrs and 38 mins
Day of Ascension,Adrian Tchaikovsky,Length: 5 hrs and 38 mins
The Tender Bar,J. R. Moehringer,Length: 16 hrs and 16 mins
"Listener's Audio Bible - New International Version, NIV: Complete Bible",Zondervan,Length: 75 hrs and 14 mins
Howl's Moving Castle,Diana Wynne Jones,Length: 8 hrs and 34 mins
1491,Charles C. Mann,Length: 16 hrs and 17 mins
Morning Star,Pierce Brown,Length: 21 hrs and 50 mins
Origin,Jennifer Raff,Length: 9 hrs and 12 mins
Perfect Strangers,J.T. Geissinger,Length: 10 hrs and 41 mins
Infinite Jest,David Foster Wallace,Length: 56 hrs and 12 mins
The Carrera Cartel,Cora Kenborn,Length: 31 hrs and 38 mins
At Wits' End,Kenzie Reed,Length: 9 hrs and 40 mins
Gardens of the Moon,Steven Erikson,Length: 26 hrs and 3 mins
Open,Andre Agassi,Length: 18 hrs and 4 mins
The Life You Left Behind,Debbie Howells,Length: 11 hrs and 35 mins
Jurassic Park,Michael Crichton,Length: 15 hrs and 10 mins
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Length: 26 hrs and 29 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Length: 21 hrs and 37 mins
The Battle of the Labyrinth,Rick Riordan,Length: 10 hrs and 31 mins
The Last Olympian,Rick Riordan,Length: 11 hrs
Inheritance,Christopher Paolini,Length: 31 hrs and 17 mins
Golden Son,Pierce Brown,Length: 19 hrs and 3 mins
I'll Be There (But I'll Be Wearing Sweatpants),"Amy Weatherly,Jess Johnston",Length: 5 hrs and 19 mins
The Hero with a Thousand Faces,Joseph Campbell,Length: 14 hrs and 37 mins
Ice and Monsters,Peter Nealen,Length: 11 hrs and 26 mins
Nonviolent Communication,Marshall Rosenberg PhD,Length: 5 hrs and 9 mins
Hedgewitch,Terry Mancour,Length: 20 hrs and 48 mins
How Not to Be Afraid,"Gareth Higgins,Kathleen Norris - foreword",Length: 8 hrs and 21 mins
Last Exit,Max Gladstone,Length: 21 hrs and 3 mins
The Three-Body Problem,Cixin Liu,Length: 13 hrs and 26 mins
Klara and the Sun,Kazuo Ishiguro,Length: 10 hrs and 16 mins
Twilight,Stephenie Meyer,Length: 12 hrs and 51 mins
"Multipliers, Revised and Updated","Liz Wiseman,Stephen Covey - foreword",Length: 11 hrs and 24 mins
The Life-Changing Magic of Tidying Up,Marie Kondo,Length: 4 hrs and 50 mins
Scythe,Neal Shusterman,Length: 10 hrs and 32 mins
Red Queen,Victoria Aveyard,Length: 12 hrs and 39 mins
Blink,Malcolm Gladwell,Length: 7 hrs and 44 mins
The Grapes of Wrath,"John Steinbeck,Robert DeMott",Length: 21 hrs and 1 min
Elon Musk,Ashlee Vance,Length: 13 hrs and 23 mins
Fingerprints of the Gods,Graham Hancock,Length: 18 hrs and 31 mins
The Magic of Thinking Big,David Schwartz,Length: 9 hrs and 31 mins
Secrets of the Millionaire Mind,T. Harv Eker,Length: 5 hrs and 10 mins
Benjamin Franklin: An American Life,Walter Isaacson,Length: 24 hrs and 40 mins
Gardens of the Moon,Steven Erikson,Length: 26 hrs and 3 mins
Words of Radiance,Brandon Sanderson,Length: 48 hrs and 13 mins
Jurassic Park,Michael Crichton,Length: 15 hrs and 10 mins
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Length: 26 hrs and 29 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Length: 21 hrs and 37 mins
Inheritance,Christopher Paolini,Length: 31 hrs and 17 mins
The Battle of the Labyrinth,Rick Riordan,Length: 10 hrs and 31 mins
The Last Olympian,Rick Riordan,Length: 11 hrs
Golden Son,Pierce Brown,Length: 19 hrs and 3 mins
I'll Be There (But I'll Be Wearing Sweatpants),"Amy Weatherly,Jess Johnston",Length: 5 hrs and 19 mins
The Hero with a Thousand Faces,Joseph Campbell,Length: 14 hrs and 37 mins
Nonviolent Communication,Marshall Rosenberg PhD,Length: 5 hrs and 9 mins
Hedgewitch,Terry Mancour,Length: 20 hrs and 48 mins
How Not to Be Afraid,"Gareth Higgins,Kathleen Norris - foreword",Length: 8 hrs and 21 mins
"The Saga of Tanya the Evil, Vol. 3 (Light Novel)",Carlo Zen,Length: 9 hrs and 16 mins
Twilight,Stephenie Meyer,Length: 12 hrs and 51 mins
Breaking Dawn,Stephenie Meyer,Length: 20 hrs and 28 mins
Napoleon,Andrew Roberts,Length: 32 hrs and 56 mins
Sweatpants Season,Danielle Allen,Length: 9 hrs and 17 mins
Sleep Sounds,Mindfulness Art Academy,Length: 10 hrs
Atlas Shrugged,Ayn Rand,Length: 62 hrs and 56 mins
The One Year Chronological Bible NLT,Tyndale House Publishers,Length: 73 hrs and 52 mins
Building a StoryBrand,Donald Miller,Length: 4 hrs and 56 mins
Getting to Yes,"Roger Fisher,William Ury",Length: 6 hrs and 17 mins
Bossypants,Tina Fey,Length: 5 hrs and 32 mins
Matilda,Roald Dahl,Length: 4 hrs and 18 mins
The Choice,Dr. Edith Eva Eger,Length: 12 hrs and 26 mins
The Farseer: Assassin's Apprentice,Robin Hobb,Length: 17 hrs and 18 mins
The Girl Who Fell Beneath the Sea,Axie Oh,Length: 8 hrs and 50 mins
Finding Me,Viola Davis,Length: 8 hrs and 30 mins
Catch-22,Joseph Heller,Length: 19 hrs and 58 mins
Self-Compassion,Kristin Neff,Length: 8 hrs and 59 mins
Yearbook,Seth Rogen,Length: 6 hrs and 13 mins
Though the Earth Gives Way,Mark S. Johnson,Length: 6 hrs and 57 mins
Killers of the Flower Moon,David Grann,Length: 9 hrs and 4 mins
Napoleon Hill's Outwitting the Devil,"Napoleon Hill,Sharon L. Lechter - editor",Length: 5 hrs and 51 mins
Sell or Be Sold: How to Get Your Way in Business and in Life,Grant Cardone,Length: 11 hrs and 40 mins
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime,MJ DeMarco,Length: 12 hrs and 46 mins
The Shadow Murders,"Jussi Adler-Olsen,William Frost",Length: 14 hrs
The Wish,Nicholas Sparks,Length: 11 hrs and 42 mins
Finding Faith,Kim Pritekel,Length: 10 hrs and 33 mins
Frog and Toad Audio Collection,Arnold Lobel,Length: 1 hr and 29 mins
Black Squadron,Michael Stephen Fuchs,Length: 9 hrs and 16 mins
The Three-Body Problem,Cixin Liu,Length: 13 hrs and 26 mins
Klara and the Sun,Kazuo Ishiguro,Length: 10 hrs and 16 mins
The Great Alone,Kristin Hannah,Length: 15 hrs and 3 mins
The Bachelor Bargain,Maddison Michaels,Length: 13 hrs and 3 mins
Devil's Desk,Mark Tufo,Length: 9 hrs and 54 mins
How to Change Your Mind,Michael Pollan,Length: 13 hrs and 35 mins
Miss Me with That,Rachel Lindsay,Length: 10 hrs and 1 min
Gangsters of Capitalism,Jonathan M. Katz,Length: 14 hrs and 46 mins
No Second Chances,Rio Youers,Length: 13 hrs and 14 mins
Anxious People,Fredrik Backman,Length: 9 hrs and 53 mins
The 10X Rule,Grant Cardone,Length: 7 hrs and 24 mins
A Game of Fear,Charles Todd,Length: 10 hrs and 15 mins
The Universe Has Your Back,Gabrielle Bernstein,Length: 4 hrs and 30 mins
Endurance,Alfred Lansing,Length: 10 hrs and 20 mins
Lone Survivor,"Marcus Luttrell,Patrick Robinson",Length: 14 hrs and 17 mins
American Sniper,"Chris Kyle,Scott McEwan,Jim DeFelice",Length: 10 hrs and 18 mins
The Golden Compass,Philip Pullman,Length: 11 hrs and 42 mins
Based on a True Story,Norm Macdonald,Length: 7 hrs and 18 mins
Cibola Burn,James S. A. Corey,Length: 20 hrs and 7 mins
Why Has Nobody Told Me This Before?,Julie Smith,Length: 7 hrs and 16 mins
Untamed,Glennon Doyle,Length: 8 hrs and 22 mins
Olga Dies Dreaming,Xochitl Gonzalez,Length: 11 hrs and 22 mins
A People's History of the United States,Howard Zinn,Length: 34 hrs and 8 mins
Shantaram,Gregory David Roberts,Length: 42 hrs and 59 mins
Death and Glory,"Luke Chmilenko,Chris Harris",Length: 21 hrs and 18 mins
Atomic Habits,James Clear,Length: 5 hrs and 35 mins
Getting Things Done,David Allen,Length: 10 hrs and 23 mins
Anne Frank: The Diary of a Young Girl,Anne Frank,Length: 9 hrs and 55 mins
Band of Brothers,Stephen E. Ambrose,Length: 12 hrs and 37 mins
The Demon-Haunted World,Carl Sagan,Length: 17 hrs and 23 mins
Debt - Updated and Expanded,David Graeber,Length: 17 hrs and 48 mins
The Last Kingdom,Bernard Cornwell,Length: 13 hrs and 28 mins
Open,Andre Agassi,Length: 18 hrs and 4 mins
The Magicians,Lev Grossman,Length: 17 hrs and 24 mins
Scoundrel,Sarah Weinman,Length: 9 hrs and 4 mins
Black Orchid Girls,Carolyn Arnold,Length: 8 hrs and 20 mins
The Land: Alliances: A LitRPG Saga,Aleron Kong,Length: 11 hrs and 3 mins
Kitchen Confidential,Anthony Bourdain,Length: 8 hrs and 19 mins
It,Stephen King,Length: 44 hrs and 55 mins
"Naked, Short and Greedy",Susanne Trimbath,Length: 5 hrs and 45 mins
The Facts of Midlife,Robyn Peterman,Length: 7 hrs
The Warmth of Other Suns,Isabel Wilkerson,Length: 22 hrs and 40 mins
Footwizard,Terry Mancour,Length: 26 hrs and 18 mins
The Black Prism,Brent Weeks,Length: 21 hrs and 26 mins
Drums of Autumn,Diana Gabaldon,Length: 44 hrs and 50 mins
Cleaning Up Your Mental Mess,Dr. Caroline Leaf,Length: 8 hrs and 4 mins
The Five Love Languages: The Secret to Love That Lasts,Gary Chapman,Length: 4 hrs and 46 mins
Attached,"Amir Levine,Rachel Heller",Length: 7 hrs and 6 mins
The Secret History,Donna Tartt,Length: 22 hrs and 3 mins
Magpie Murders,Anthony Horowitz,Length: 15 hrs and 48 mins
Last Exit,Max Gladstone,Length: 21 hrs and 3 mins
Most Dope,Paul Cantor,Length: 11 hrs and 5 mins
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Length: 9 hrs and 3 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Length: 11 hrs and 49 mins
The Awkward Truth,Lee Winter,Length: 10 hrs and 33 mins
The Dark Tower IV,Stephen King,Length: 27 hrs and 35 mins
Soar High,Cherise Sinclair,Length: 11 hrs and 6 mins
A Storm of Swords,George R.R. Martin,Length: 47 hrs and 34 mins
Sacred Woman,Queen Afua,Length: 27 hrs and 59 mins
Forever Lies,Kathleen Brooks,Length: 7 hrs and 49 mins
"Short-Term Rental, Long-Term Wealth",Avery Carl,Length: 4 hrs and 31 mins
Great Expectations,Charles Dickens,Length: 18 hrs and 32 mins
In the Woods,Tana French,Length: 20 hrs and 24 mins
The Fellowship of the Ring,J. R. R. Tolkien,Length: 19 hrs and 7 mins
The Gift of Fear,Gavin de Becker,Length: 12 hrs and 50 mins
Night,Elie Wiesel,Length: 4 hrs and 17 mins
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Length: 12 hrs and 30 mins
"The Case for Christ, Revised & Updated",Lee Strobel,Length: 10 hrs and 49 mins
The Outsiders,S. E. Hinton,Length: 5 hrs and 8 mins
The Bazaar of Bad Dreams,Stephen King,Length: 20 hrs and 11 mins
Lord of Chaos,Robert Jordan,Length: 41 hrs and 32 mins
The Becoming,Nora Roberts,Length: 15 hrs and 36 mins
The Riviera House,Natasha Lester,Length: 14 hrs and 35 mins
Pangea Online: The Complete Trilogy,S.L. Rowland,Length: 23 hrs and 1 min
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Length: 20 hrs and 37 mins
For Such a Time as This,Kayleigh McEnany,Length: 6 hrs and 6 mins
Pandemia,Alex Berenson,Length: 11 hrs and 1 min
Unsettled,Steven E. Koonin,Length: 7 hrs and 14 mins
A Carnival of Snackery,David Sedaris,Length: 17 hrs and 8 mins
Crazy Faith,Michael Todd,Length: 5 hrs and 50 mins
The Maze Runner,James Dashner,Length: 10 hrs and 50 mins
Antifragile,Nassim Nicholas Taleb,Length: 16 hrs and 14 mins
An Impossible Impostor,Deanna Raybourn,Length: 12 hrs and 26 mins
The Success Principles(TM) - 10th Anniversary Edition,"Jack Canfield,Janet Switzer",Length: 21 hrs and 46 mins
A Game of Thrones,George R.R. Martin,Length: 33 hrs and 46 mins
The Way of Kings,Brandon Sanderson,Length: 45 hrs and 30 mins
Comedy Comedy Comedy Drama,Bob Odenkirk,Length: 7 hrs and 52 mins
Becoming Supernatural,Joe Dispenza,Length: 14 hrs and 6 mins
Defiance of the Fall,"TheFirstDefier,JF Brink",Length: 23 hrs and 29 mins
Taking the Leap,Kristen Ashley,Length: 14 hrs and 12 mins
"Influence, New and Expanded",Robert B. Cialdini,Length: 20 hrs and 43 mins
The Easy Way to Control Alcohol,Allen Carr,Length: 8 hrs and 6 mins
The Heartache No One Sees,Sheila Walsh,Length: 8 hrs and 30 mins
A Breath of Snow and Ashes,Diana Gabaldon,Length: 57 hrs and 48 mins
He Who Fights with Monsters 3,"Shirtaloon,Travis Deverell",Length: 24 hrs and 39 mins
The Anarchist Handbook,Michael Malice,Length: 13 hrs and 29 mins
Night School,Lee Child,Length: 13 hrs and 7 mins
True Wolf,Paige Tyler,Length: 8 hrs and 59 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Length: 18 hrs and 32 mins
The Dutch House,Ann Patchett,Length: 9 hrs and 53 mins
Cursed Fates,"Caroline Peckham,Susanne Valenti",Length: 26 hrs and 17 mins
January 6,Julie Kelly,Length: 10 hrs and 27 mins
The Blood Tide,Neil Lancaster,Length: 10 hrs and 52 mins
Critical Role: Vox Machina - Kith & Kin,Marieke Nijkamp,Length: 15 hrs and 58 mins
Stories I Only Tell My Friends,Rob Lowe,Length: 9 hrs and 10 mins
When a Killer Calls,"John E. Douglas,Mark Olshaker",Length: 9 hrs and 1 min
The Last House on the Street,Diane Chamberlain,Length: 12 hrs and 10 mins
The Biology of Belief,Bruce H. Lipton PhD,Length: 10 hrs and 24 mins
Holier Than Thou,Jackie Hill Perry,Length: 4 hrs and 16 mins
Pignon Scorbion & the Barbershop Detectives,Rick Bleiweiss,Length: 9 hrs and 28 mins
The Next Civil War,Stephen Marche,Length: 7 hrs and 45 mins
Swan Song,Robert R. McCammon,Length: 34 hrs and 19 mins
Wolves of the Calla,Stephen King,Length: 26 hrs and 20 mins
Adult Children of Emotionally Immature Parents,Lindsay C. Gibson PsyD,Length: 6 hrs and 50 mins
The School for Good Mothers,Jessamine Chan,Length: 11 hrs and 56 mins
"Eat, Pray, Love",Elizabeth Gilbert,Length: 12 hrs and 49 mins
The Dark Hours,Michael Connelly,Length: 11 hrs and 4 mins
The Road Back to You,"Ian Morgan Cron,Suzanne Stabile",Length: 9 hrs and 17 mins
The Witching Hour,Anne Rice,Length: 50 hrs and 1 min
When We Cease to Understand the World,"Benjamin Labatut,Adrian West - translator",Length: 5 hrs and 40 mins
Billy Summers,Stephen King,Length: 16 hrs and 57 mins
The Eye of the World,Robert Jordan,Length: 32 hrs and 55 mins
Nothing Compares 2 U,Touré,Length: 8 hrs and 57 mins
The Magnificent Lives of Marjorie Post,Allison Pataki,Length: 14 hrs and 35 mins
Heretic Spellblade 4,K.D. Robertson,Length: 17 hrs and 42 mins
The Black Book,"James Patterson,David Ellis",Length: 10 hrs and 18 mins
One Shot,Lee Child,Length: 14 hrs and 33 mins
South to America,Imani Perry,Length: 16 hrs and 32 mins
Mercy,David Baldacci,Length: 11 hrs and 57 mins
Woke Racism,John McWhorter,Length: 5 hrs and 17 mins
Black Labyrinth,"Christopher Hopper,J.N. Chaney",Length: 11 hrs and 4 mins
The State of Affairs,Esther Perel,Length: 11 hrs and 57 mins
Anger Management for Parents: The Problem with Being an Angry Parent and How to Fix It,Erika Miller,Length: 10 hrs and 11 mins
Elemental Summoner 3,D. Levesque,Length: 9 hrs and 9 mins
The Book on Rental Property Investing,Brandon Turner,Length: 11 hrs and 38 mins
The Other Family,Wendy Corsi Staub,Length: 9 hrs and 7 mins
I Hate You - Don't Leave Me: Third Edition,"Jerold J. Kreisman,Hal Straus",Length: 10 hrs and 32 mins
The Making of the Atomic Bomb,Richard Rhodes,Length: 37 hrs and 16 mins
Insurgent,Veronica Roth,Length: 11 hrs and 22 mins
The Last Tomb,Edward W. Robertson,Length: 10 hrs and 39 mins
Fuzz,Mary Roach,Length: 9 hrs and 17 mins
"Money, and the Law of Attraction","Esther Hicks,Jerry Hicks",Length: 7 hrs and 27 mins
Elantris,Brandon Sanderson,Length: 28 hrs and 42 mins
"An Irish Village Mystery Bundle, Books 1-3",Carlene O'Connor,Length: 29 hrs and 19 mins
A Not So Meet Cute,Meghan Quinn,Length: 11 hrs and 53 mins
The Gray Man,Mark Greaney,Length: 11 hrs and 11 mins
If You Ask Me,Betty White,Length: 2 hrs and 16 mins
Watch My Smoke,Eric Dickerson,Length: 7 hrs and 12 mins
The Best Men,"Lauren Blakely,Sarina Bowen",Length: 9 hrs and 9 mins
The New Wife,Sue Watson,Length: 9 hrs and 45 mins
Cold Days,Jim Butcher,Length: 18 hrs and 47 mins
If She Wakes,Erik Therme,Length: 7 hrs and 55 mins
House of Sky and Breath,Sarah J. Maas,Length: 27 hrs and 42 mins
Running Blind,Lee Child,Length: 13 hrs and 45 mins
"Sis, Don't Settle",Faith Jenkins,Length: 8 hrs and 20 mins
Pixel Dust Omnibus: Books 1-3 in a GameLit Fantasy Adventure,David Petrie,Length: 39 hrs and 31 mins
The Night She Disappeared,Lisa Jewell,Length: 11 hrs and 56 mins
The Rake Gets Ravished,Sophie Jordan,Length: 7 hrs and 11 mins
Consent to Kill,Vince Flynn,Length: 17 hrs and 16 mins
Paradise,Craig Alanson,Length: 15 hrs and 53 mins
Good Omens,"Neil Gaiman,Terry Pratchett",Length: 12 hrs and 32 mins
November 9,Colleen Hoover,Length: 9 hrs and 46 mins
Shards of Earth,Adrian Tchaikovsky,Length: 18 hrs and 43 mins
The Richest Man in Babylon,George S. Clason,Length: 4 hrs and 4 mins
Tough as Steele,Susan Sleeman,Length: 8 hrs and 44 mins
The Crystal Shard,R. A. Salvatore,Length: 12 hrs and 2 mins
The Complete Guide to Fasting,"Jimmy Moore,Dr. Jason Fung",Length: 7 hrs and 36 mins
Star Wars: Convergence (The High Republic),Zoraida Córdova,Length: 14 hrs
State of Terror,"Louise Penny,Hillary Rodham Clinton",Length: 15 hrs and 41 mins
Rule of Two,Drew Karpyshyn,Length: 10 hrs and 12 mins
The Artist's Way: 25th Anniversary Edition,Julia Cameron,Length: 10 hrs and 15 mins
Blood & Bones: Shade,Jeanne St. James,Length: 12 hrs and 20 mins
The Meaning of Marriage,Timothy Keller,Length: 8 hrs and 15 mins
Tripwire,Lee Child,Length: 14 hrs and 52 mins
Greenwich Park,Katherine Faulkner,Length: 10 hrs and 13 mins
The 5 Love Languages of Children,"Gary Chapman,Ross Campbell",Length: 5 hrs and 48 mins
