title,author,length
City of the Dead,Jonathan Kellerman,Length: 10 hrs and 43 mins
A Kingdom of Ruin,K.F. Breene,Length: 13 hrs and 31 mins
The Golden Couple,"Greer Hendricks,Sarah Pekkanen",Length: 11 hrs and 3 mins
Healing,Thomas Insel,Length: 9 hrs and 11 mins
The Lady Tempts an Heir,Harper St. George,Length: 9 hrs and 34 mins
Batter Off Dead,Maddie Day,Length: 7 hrs and 35 mins
This Might Hurt,Stephanie Wrobel,Length: 11 hrs and 42 mins
The Violent Storm,"William W. Johnstone,J.A. Johnstone",Length: 8 hrs and 29 mins
Dead River,"William W. Johnstone,J. A. Johnstone",Length: 9 hrs and 42 mins
The Investigator,John Sandford,Length: 10 hrs and 30 mins
Christianity Made Me Talk Like an Idiot,Seth Andrews,Length: 6 hrs and 57 mins
Shadows Reel,C. J. Box,Length: 9 hrs and 4 mins
Never Split the Difference,Chris Voss,Length: 8 hrs and 7 mins
Adventurer,David Burke,Length: 11 hrs and 35 mins
The Diamond Eye,Kate Quinn,Length: 15 hrs
Coach K,Ian O'Connor,Length: 16 hrs and 3 mins
The Man from the Future,Ananyo Bhattacharya,Length: 11 hrs and 56 mins
Sierra Six,Mark Greaney,Length: 15 hrs and 58 mins
Blue Fire,John Gilstrap,Length: 11 hrs and 47 mins
The Name of the Wind,Patrick Rothfuss,Length: 27 hrs and 55 mins
Dream Town,David Baldacci,Length: 13 hrs
One Little Word,Audra McElyea,Length: 8 hrs and 55 mins
Braiding Sweetgrass,Robin Wall Kimmerer,Length: 16 hrs and 44 mins
The Secret,Rhonda Byrne,Length: 4 hrs and 24 mins
The Song of Achilles,Madeline Miller,Length: 11 hrs and 15 mins
The Long-Forgotten Winter King,Annette Marie,Length: 8 hrs
The Year That Broke America,Andrew Rice,Length: 15 hrs and 37 mins
Born a Crime,Trevor Noah,Length: 8 hrs and 44 mins
Soul Taken,Patricia Briggs,Length: 10 hrs
Calling,Molly Harper,Length: 7 hrs and 27 mins
Sickening,John Abramson,Length: 9 hrs and 17 mins
"Hook, Line, and Sinker",Tessa Bailey,Length: 10 hrs and 10 mins
One Step Too Far,Lisa Gardner,Length: 11 hrs and 48 mins
The Assignment,Penelope Ward,Length: 8 hrs and 38 mins
To Kill a Mockingbird,Harper Lee,Length: 12 hrs and 17 mins
Good to Great,Jim Collins,Length: 10 hrs and 1 min
The Alchemist,Paulo Coelho,Length: 4 hrs
A Creative Rebel's Guide to Winning the Game of Life,"Meggan Wilson,Jacob Wilson",Length: 5 hrs and 8 mins
The Sandman: Act II,"Neil Gaiman,Dirk Maggs",Length: 13 hrs and 47 mins
The Obstacle Is the Way,Ryan Holiday,Length: 6 hrs and 7 mins
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",Timothy Ferriss,Length: 13 hrs and 1 min
A Flicker in the Dark,Stacy Willingham,Length: 11 hrs and 1 min
Murder in First Class,Helena Dixon,Length: 7 hrs and 20 mins
Killing Floor,Lee Child,Length: 17 hrs and 47 mins
The Real Anthony Fauci,Robert F. Kennedy Jr.,Length: 27 hrs and 20 mins
The Lost Barrier,Vaughn Heppner,Length: 16 hrs and 14 mins
Amp It Up,Frank Slootman,Length: 5 hrs and 35 mins
"I'd Like to Play Alone, Please",Tom Segura,Length: 8 hrs
Sword and Shadow,Michelle Sagara,Length: 16 hrs and 50 mins
The Lost Metal,Brandon Sanderson,Length: 10 hrs
Seasons,Jordan Castillo Price,Length: 8 hrs and 52 mins
The 5 Second Rule,Mel Robbins,Length: 7 hrs and 35 mins
Amongst Our Weapons,Ben Aaronovitch,Length: 10 hrs
The Respondent,Greg Ellis,Length: 8 hrs and 25 mins
The Devil in the White City,Erik Larson,Length: 14 hrs and 58 mins
The Kaiju Preservation Society,John Scalzi,Length: Not Yet Known
Unstoppable,Chiquis Rivera,Length: 8 hrs and 30 mins
Desperation in Death,J. D. Robb,Length: 10 hrs
Going There,Katie Couric,Length: 15 hrs and 27 mins
The Nineties,Chuck Klosterman,Length: 12 hrs and 39 mins
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Length: 5 hrs and 51 mins
The Misfit Soldier,Michael Mammay,Length: 8 hrs and 29 mins
The Berlin Exchange,Joseph Kanon,Length: 10 hrs and 32 mins
What My Bones Know,Stephanie Foo,Length: 10 hrs and 2 mins
Life Without Children,Roddy Doyle,Length: 4 hrs and 53 mins
The Untethered Soul,Michael A. Singer,Length: 6 hrs and 11 mins
The Maid,Nita Prose,Length: 9 hrs and 37 mins
Abandoned in Death,J. D. Robb,Length: 13 hrs and 16 mins
Why We Sleep,Matthew Walker,Length: 13 hrs and 52 mins
Atlas of the Heart,Brené Brown,Length: 8 hrs and 29 mins
Unlocking the Keto Code,Steven R. Gundry MD,Length: 6 hrs and 12 mins
The Overnight Guest,Heather Gudenkauf,Length: 9 hrs and 29 mins
A New Earth,Eckhart Tolle,Length: 9 hrs and 12 mins
The Book of Joy,"His Holiness the Dalai Lama,Desmond Tutu,Douglas Carlton Abrams",Length: 10 hrs and 12 mins
Krieg,Steve Lyons,Length: 9 hrs and 33 mins
The Rise and Fall of the Third Reich,William L. Shirer,Length: 57 hrs and 11 mins
Rescuing Annie,Susan Stoker,Length: 7 hrs and 16 mins
Stolen Focus,Johann Hari,Length: 10 hrs and 20 mins
Biomancer,Shemer Kuznits,Length: 17 hrs and 22 mins
The Power of Regret,Daniel H. Pink,Length: 5 hrs and 29 mins
Rule Your Day,Joel Osteen,Length: 2 hrs and 37 mins
Rotten to the Core,T E Kinsey,Length: 10 hrs
Pontius Pilate,Paul L. Maier,Length: 15 hrs and 2 mins
Violeta,"Isabel Allende,Frances Riddle",Length: 11 hrs and 59 mins
The Gap and the Gain,"Dan Sullivan,Dr. Benjamin Hardy",Length: 5 hrs and 58 mins
The Greatest Menace,"Patrick Abboud,Simon Cunich",Length: 5 hrs and 21 mins
Crown & Sceptre,Tracy Borman,Length: 20 hrs and 16 mins
Code over Country,Matthew Cole,Length: 12 hrs and 10 mins
Peril,"Bob Woodward,Robert Costa",Length: 13 hrs and 35 mins
How to Be a 3% Man,Corey Wayne,Length: 7 hrs and 33 mins
The Subtle Art of Not Giving a F*ck,Mark Manson,Length: 5 hrs and 17 mins
World Keeper: Era of the Gods,Justin Miller,Length: 20 hrs and 14 mins
Timber,Tate James,Length: 15 hrs and 36 mins
The Storyteller,Dave Grohl,Length: 10 hrs and 35 mins
Love in the Time of Bertie,Alexander McCall Smith,Length: 9 hrs and 25 mins
Dark Horse,Gregg Hurwitz,Length: 15 hrs and 7 mins
The Lady's Mine,Francine Rivers,Length: 15 hrs and 19 mins
The Lords of Easy Money,Christopher Leonard,Length: 10 hrs and 19 mins
The Lady of the Lake,Andrzej Sapkowski,Length: 20 hrs and 18 mins
$100M Offers,Alex Hormozi,Length: 3 hrs and 48 mins
Unidentified,Douglas E. Richards,Length: 13 hrs and 17 mins
A Royal Murder,Verity Bright,Length: 8 hrs and 20 mins
Honor,Thrity Umrigar,Length: 11 hrs and 19 mins
Prodigy of Thunder,Sever Bronny,Length: 24 hrs and 24 mins
Shoe Dog,Phil Knight,Length: 13 hrs and 21 mins
Station Eleven (Television Tie-in),Emily St. John Mandel,Length: 10 hrs and 40 mins
Hyperion,Dan Simmons,Length: 20 hrs and 44 mins
Sparring Partners,John Grisham,Length: 10 hrs and 30 mins
The School of Mirrors,Eva Stachniak,Length: 16 hrs and 51 mins
Fake,Erica Katz,Length: 10 hrs and 26 mins
The Dawn of Everything,"David Graeber,David Wengrow",Length: 24 hrs and 2 mins
Dragon's Justice,Bruce Sentar,Length: 11 hrs and 33 mins
Reminders of Him,Colleen Hoover,Length: 10 hrs and 17 mins
Silva Mind Control Method,"Jose Silva,Philip Miele",Length: 8 hrs
The Valentine Inn,Jennifer Peel,Length: 8 hrs and 32 mins
Gentle and Lowly,Dane C. Ortlund,Length: 5 hrs and 17 mins
To Paradise,Hanya Yanagihara,Length: 28 hrs and 47 mins
Savage Hearts,J.T. Geissinger,Length: 10 hrs and 33 mins
Ready Player One,Ernest Cline,Length: 15 hrs and 40 mins
Ender's Game,Orson Scott Card,Length: 11 hrs and 57 mins
The Blade Itself,Joe Abercrombie,Length: 22 hrs and 15 mins
Shogun,James Clavell,Length: 53 hrs and 33 mins
Influence Is Your Superpower,Zoe Chance,Length: 7 hrs and 10 mins
How to Win Friends & Influence People,Dale Carnegie,Length: 7 hrs and 15 mins
The Gathering Storm,"Robert Jordan,Brandon Sanderson",Length: 32 hrs and 58 mins
Diablo Mesa,"Douglas Preston,Lincoln Child",Length: 11 hrs and 55 mins
The 1619 Project,"Nikole Hannah-Jones,The New York Times Magazine,Caitlin Roper - editor,Ilena Silverman - editor,Jake Silverstein - editor",Length: 18 hrs and 57 mins
Four Thousand Weeks,Oliver Burkeman,Length: 5 hrs and 54 mins
Violeta (Spanish Edition),Isabel Allende,Length: 11 hrs and 25 mins
Unthinkable,Jamie Raskin,Length: 15 hrs and 8 mins
Grant,Ron Chernow,Length: 48 hrs and 2 mins
Boondock Pilgrims,Franklin Horton,Length: 7 hrs and 23 mins
A Gentleman in Moscow,Amor Towles,Length: 17 hrs and 52 mins
World Between,Sarah Lyons Fleming,Length: 16 hrs and 40 mins
Alexander Hamilton,Ron Chernow,Length: 35 hrs and 58 mins
A Very Vegas St. Patrick's Day,"Kayley Loring,Connor Crais",Length: 6 hrs and 12 mins
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Length: 12 hrs and 10 mins
It Ends with Us,Colleen Hoover,Length: 11 hrs and 11 mins
48 Laws of Power,Robert Greene,Length: 23 hrs and 6 mins
Under Construction,Chrishell Stause,Length: 4 hrs and 35 mins
My Money My Way,Kumiko Love,Length: 6 hrs and 43 mins
From Strength to Strength,Arthur C. Brooks,Length: 5 hrs and 49 mins
The Ramona Quimby Audio Collection,"Beverly Cleary,Tracy Dockray",Length: 18 hrs and 56 mins
Greenlights,Matthew McConaughey,Length: 6 hrs and 42 mins
The Miracle Morning,Hal Elrod,Length: 4 hrs and 57 mins
The Nightingale,Kristin Hannah,Length: 17 hrs and 19 mins
The High 5 Habit,Mel Robbins,Length: 6 hrs and 57 mins
Back to One,Eric Ugland,Length: 9 hrs
Noble Solutions,Daniel Schinhofen,Length: 12 hrs and 48 mins
Ghost of Truth,Alice Winters,Length: 9 hrs and 12 mins
The Fellowship of the Ring,J. R. R. Tolkien,Length: 22 hrs and 38 mins
The Christie Affair,Nina de Gramont,Length: 10 hrs and 23 mins
A Clash of Kings,George R.R. Martin,Length: 37 hrs and 12 mins
The Lincoln Highway,Amor Towles,Length: 16 hrs and 39 mins
The Missing,Kiersten Modglin,Length: 8 hrs and 26 mins
Ruins of Chaos,Amelia Hutchins,Length: 18 hrs and 43 mins
A Radical Enterprise,Matt K. Parker,Length: 5 hrs and 53 mins
Twisted Creek,KC Kean,Length: 10 hrs and 23 mins
American Muckraker,James O'Keefe,Length: 7 hrs and 22 mins
He Who Fights with Monsters 4,"Shirtaloon,Travis Deverell",Length: 22 hrs and 20 mins
Of Bone and Ruin,T. A. White,Length: 13 hrs and 37 mins
Termination Shock,Neal Stephenson,Length: 22 hrs and 54 mins
Dragonfly in Amber,Diana Gabaldon,Length: 38 hrs and 54 mins
Jake's Magical Market,J.R. Mathews,Length: 20 hrs and 41 mins
The Two Towers,J. R. R. Tolkien,Length: 16 hrs and 40 mins
Vanderbilt,"Anderson Cooper,Katherine Howe",Length: 8 hrs and 50 mins
Decker's Dilemma,Chantal Fernando,Length: 6 hrs and 42 mins
The Resurrection,Jodi Ellen Malpas,Length: 17 hrs and 21 mins
Wild Wild Quest,Eric Ugland,Length: 10 hrs and 56 mins
"Spies, Lies, and Algorithms",Amy B. Zegart,Length: 11 hrs and 54 mins
Project Hail Mary,Andy Weir,Length: 16 hrs and 10 mins
The Match,Harlan Coben,Length: 10 hrs and 4 mins
No Plan B,"Lee Child,Andrew Child",Length: 11 hrs
The Return of the King,J. R. R. Tolkien,Length: 18 hrs and 19 mins
